wno	uno	que	ans
1	6	 1 * 3 + 7 - 5 	5
2	12	 8 / 4 - 2 + 6 	6
3	17	 2 + 4 - 1 * 5 	1
4	6	 3 - 2 * 1 + 9 	10
5	4	 7 + 5 / 2 - 3 	6.5
6	12	 6 - 4 + 8 / 2 	6
7	8	 5 * 2 - 3 + 1 	8
8	7	 9 / 3 + 6 - 1 	8
9	3	 4 + 2 - 1 * 3 	3
10	8	 8 - 3 * 1 + 7 	12
11	8	 2 + 1 - 4 / 2 	1
12	11	 3 * 2 + 5 - 1 	10
13	15	 6 - 1 + 4 / 2 	7
14	14	 7 + 4 - 3 * 1 	8
15	8	 9 / 1 * 2 - 5 	13
16	20	 1 * 5 + 8 - 2 	11
17	19	 4 + 2 / 1 - 3 	3
18	14	 8 - 5 * 2 + 7 	5
19	13	 2 / 1 + 4 - 3 	3
20	12	 6 + 1 - 3 * 2 	1
21	17	 7 - 2 * 1 + 4 	9
22	7	 3 * 2 - 1 + 5 	10
23	17	 9 / 1 + 6 - 3 	12
24	4	 5 + 4 - 2 * 1 	7
25	14	 3 + 2 * 4 - 1 	10
26	11	 9 - 3 / 1 + 7 	13
27	2	 6 / 3 + 8 - 2 	8
28	10	 1 + 7 * 2 - 3 	12
29	19	 4 - 2 / 1 + 5 	7
30	2	 7 * 3 - 2 + 1 	20
31	16	 2 - 1 + 6 / 3 	3
32	5	 5 + 6 / 2 - 1 	7
33	1	 8 * 2 - 4 + 3 	15
34	1	 5 - 2 * 3 + 4 	3
35	1	 6 / 2 + 9 - 1 	11
36	1	 3 + 7 * 2 - 5 	12
37	1	 4 - 1 * 2 + 5 	7
38	1	 9 / 3 - 1 + 6 	8
39	1	 2 + 5 * 3 - 4 	13
40	1	 7 - 3 / 1 + 8 	12
41	1	 1 + 6 * 2 - 3 	10
42	1	 8 / 2 + 4 - 1 	7
