r_no	pu_no	r_content	r_star
1	1	평범한 제품, 기대 이하였습니다.	2
2	2	평범한 제품, 기대 이하였습니다.	1
3	3	제품에 만족하지 못했습니다.	1.5
4	4	품질은 좋으나 배송이 늦었습니다.	2.5
5	5	우수한 품질, 다시 구매할 거예요!	3
6	6	제품에 만족하지 못했습니다.	3.5
7	7	우수한 품질, 다시 구매할 거예요!	4.5
8	8	품질은 좋으나 배송이 늦었습니다.	5
9	9	평범한 제품, 기대 이하였습니다.	1
10	10	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	1.5
11	11	우수한 품질, 다시 구매할 거예요!	2
12	12	평범한 제품, 기대 이하였습니다.	3
13	13	품질은 좋으나 배송이 늦었습니다.	3.5
14	14	품질은 좋으나 배송이 늦었습니다.	4
15	15	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	5
16	16	품질은 좋으나 배송이 늦었습니다.	0
17	17	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	1
18	18	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	1.5
19	19	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	2
20	20	품질은 좋으나 배송이 늦었습니다.	2.5
21	21	품질은 좋으나 배송이 늦었습니다.	3
22	22	우수한 품질, 다시 구매할 거예요!	3.5
23	23	품질은 좋으나 배송이 늦었습니다.	4
24	24	제품에 만족하지 못했습니다.	4.5
25	25	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	1
26	26	평범한 제품, 기대 이하였습니다.	1
27	27	품질은 좋으나 배송이 늦었습니다.	1.5
28	28	평범한 제품, 기대 이하였습니다.	2
29	29	품질은 좋으나 배송이 늦었습니다.	2.5
30	30	제품에 만족하지 못했습니다.	3
31	31	우수한 품질, 다시 구매할 거예요!	3.5
32	32	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	4
33	33	평범한 제품, 기대 이하였습니다.	4.5
34	34	품질은 좋으나 배송이 늦었습니다.	5
35	35	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	0
36	36	품질은 좋으나 배송이 늦었습니다.	2.5
37	37	평범한 제품, 기대 이하였습니다.	1.5
38	38	우수한 품질, 다시 구매할 거예요!	2
39	39	평범한 제품, 기대 이하였습니다.	2.5
40	40	품질은 좋으나 배송이 늦었습니다.	3
41	41	품질은 좋으나 배송이 늦었습니다.	3.5
42	42	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	4
43	43	제품에 만족하지 못했습니다.	4.5
44	44	우수한 품질, 다시 구매할 거예요!	5
45	45	우수한 품질, 다시 구매할 거예요!	0
46	46	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	1
47	47	품질은 좋으나 배송이 늦었습니다.	1.5
48	48	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	3
49	49	제품에 만족하지 못했습니다.	2.5
50	50	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	3
51	51	품질은 좋으나 배송이 늦었습니다.	3.5
52	52	우수한 품질, 다시 구매할 거예요!	4
53	53	우수한 품질, 다시 구매할 거예요!	4.5
54	54	우수한 품질, 다시 구매할 거예요!	5
55	55	우수한 품질, 다시 구매할 거예요!	0
56	56	평범한 제품, 기대 이하였습니다.	1
57	57	제품에 만족하지 못했습니다.	1
58	58	평범한 제품, 기대 이하였습니다.	2
59	59	품질은 좋으나 배송이 늦었습니다.	2.5
60	60	제품에 만족하지 못했습니다.	2
61	61	우수한 품질, 다시 구매할 거예요!	3.5
62	62	제품에 만족하지 못했습니다.	4
63	63	훌륭한 제품이었습니다. 다시 구매하고 싶어요!	4.5
64	64	평범한 제품, 기대 이하였습니다.	5
65	65	평범한 제품, 기대 이하였습니다.	0
